model,task,rmse,mae,r2,bias,f1_weighted,interval_coverage_90,f1_macro
LinearTrend,regression,20.64192615624062,17.839020935917283,-0.04689715978480247,5.024730121766925,,,
SARIMA,regression,8.150817827672912,4.376442966242161,0.8367677545994783,1.9246337765799149,,,
Rule,binary-classification,,,,,0.815621429051556,,
RandomForest,regression,4.954580647556443,3.166748185329989,0.9396861036454124,0.9176433317483355,,0.9375,
XGBoost,regression,5.42192813960997,3.999978591183898,0.9277710841839021,1.1218217760430291,,0.9444444444444444,
XGBoostClassifier,classification,,,,,0.9791393478450914,,0.9744953660017792
